Time,entry,Azide_1,Azide_2,Type,variable,value
0.0,00,Arg,kArg,Click,B5,1.8834
0.15,00,Arg,kArg,Click,B5,1.9598
0.31666666666666665,00,Arg,kArg,Click,B5,1.9647999999999999
0.48333333333333334,00,Arg,kArg,Click,B5,1.9796
0.65,00,Arg,kArg,Click,B5,1.9588999999999999
0.8166666666666667,00,Arg,kArg,Click,B5,1.9644999999999997
0.9833333333333333,00,Arg,kArg,Click,B5,1.9388
1.15,00,Arg,kArg,Click,B5,1.9356
1.3166666666666667,00,Arg,kArg,Click,B5,1.9264999999999999
1.4833333333333334,00,Arg,kArg,Click,B5,1.9222000000000001
1.65,00,Arg,kArg,Click,B5,1.9182000000000001
1.8166666666666667,00,Arg,kArg,Click,B5,1.9087
1.9666666666666666,00,Arg,kArg,Click,B5,1.8961
2.1333333333333333,00,Arg,kArg,Click,B5,1.8873
2.3,00,Arg,kArg,Click,B5,1.8757
2.466666666666667,00,Arg,kArg,Click,B5,1.8659
2.6333333333333333,00,Arg,kArg,Click,B5,1.8540999999999999
2.8,00,Arg,kArg,Click,B5,1.8437
2.966666666666667,00,Arg,kArg,Click,B5,1.8332
3.1333333333333333,00,Arg,kArg,Click,B5,1.819
3.3,00,Arg,kArg,Click,B5,1.8135999999999999
3.466666666666667,00,Arg,kArg,Click,B5,1.7999999999999998
3.6333333333333333,00,Arg,kArg,Click,B5,1.7903
3.8,00,Arg,kArg,Click,B5,1.7754999999999999
3.95,00,Arg,kArg,Click,B5,1.7622
4.116666666666666,00,Arg,kArg,Click,B5,1.7452999999999999
4.283333333333333,00,Arg,kArg,Click,B5,1.7223
4.45,00,Arg,kArg,Click,B5,1.7035
4.616666666666666,00,Arg,kArg,Click,B5,1.6855
4.783333333333333,00,Arg,kArg,Click,B5,1.6661
4.95,00,Arg,kArg,Click,B5,1.6499
5.116666666666666,00,Arg,kArg,Click,B5,1.6306999999999998
5.283333333333333,00,Arg,kArg,Click,B5,1.6179
5.45,00,Arg,kArg,Click,B5,1.593
5.616666666666666,00,Arg,kArg,Click,B5,1.5829
5.783333333333333,00,Arg,kArg,Click,B5,1.5539999999999998
5.933333333333334,00,Arg,kArg,Click,B5,1.5391
6.1,00,Arg,kArg,Click,B5,1.4929
6.266666666666667,00,Arg,kArg,Click,B5,1.4703
6.433333333333334,00,Arg,kArg,Click,B5,1.4301
6.616666666666666,00,Arg,kArg,Click,B5,1.4091
6.75,00,Arg,kArg,Click,B5,1.3669
6.916666666666667,00,Arg,kArg,Click,B5,1.3399999999999999
7.083333333333333,00,Arg,kArg,Click,B5,1.2927
7.25,00,Arg,kArg,Click,B5,1.251
7.416666666666667,00,Arg,kArg,Click,B5,1.2042
7.583333333333333,00,Arg,kArg,Click,B5,1.1799
7.75,00,Arg,kArg,Click,B5,1.1381
7.9,00,Arg,kArg,Click,B5,1.0802999999999998
8.066666666666666,00,Arg,kArg,Click,B5,1.0621999999999998
8.233333333333333,00,Arg,kArg,Click,B5,1.0101
8.4,00,Arg,kArg,Click,B5,0.9599000000000001
8.566666666666666,00,Arg,kArg,Click,B5,0.9511
8.733333333333333,00,Arg,kArg,Click,B5,0.9083
8.9,00,Arg,kArg,Click,B5,0.8608
9.066666666666666,00,Arg,kArg,Click,B5,0.8283
9.233333333333333,00,Arg,kArg,Click,B5,0.8267
9.4,00,Arg,kArg,Click,B5,0.7831
9.566666666666666,00,Arg,kArg,Click,B5,0.7633
9.733333333333333,00,Arg,kArg,Click,B5,0.7564000000000001
9.883333333333333,00,Arg,kArg,Click,B5,0.6983
10.05,00,Arg,kArg,Click,B5,0.7513
10.216666666666667,00,Arg,kArg,Click,B5,0.7393000000000001
