time,Az,M,B,T,Type
0.0,3.2,0.0,0.0,0.0,only click
0.0,3.2,0.0,0.0,0.0,only click
0.0,3.2,0.0,0.0,0.0,only click
0.16,2.347886925795053,0.0,0.21705947136563877,0.0,only click
0.16,2.347886925795053,0.2983259911894273,0.2246145374449339,0.0,only click
0.16,2.156042402826855,0.18213656387665197,0.15411894273127752,0.0,only click
0.5,1.6663250883392224,0.28685022026431717,0.3708480176211454,0.06334801762114538,only click
0.5,1.803809187279152,0.36447136563876653,0.3919162995594714,0.08016152716593246,only click
0.5,1.859484098939929,0.3105506607929515,0.364636563876652,0.06326725403817915,only click
1.0,1.764487632508834,0.21,0.3904955947136564,0.22458883994126286,only click
1.0,1.3988833922261483,0.19887665198237886,0.42517621145374446,0.24990455212922175,only click
1.0,1.263173144876325,0.22704845814977972,0.401795154185022,0.18183553597650515,only click
2.0,1.3163038869257948,0.10063876651982379,0.15846916299559471,0.6705506607929516,only click
2.0,1.0429187279151944,0.083568281938326,0.164284140969163,0.666754772393539,only click
2.0,0.9242261484098939,0.10127753303964758,0.07674008810572687,0.5721439060205581,only click
4.0,0.9618939929328622,0.08823788546255507,0.059416299559471364,0.7749486049926579,only click
4.0,0.9846572438162544,0.0921806167400881,0.03502202643171806,0.8240381791483113,only click
4.0,0.8973427561837456,0.08222466960352423,0.04795154185022026,0.6518795888399413,only click
8.0,0.8894063604240283,0.08270925110132159,0.0447136563876652,0.8087224669603524,only click
8.0,1.0126360424028267,0.09874449339207048,0.03314977973568282,0.837136563876652,only click
8.0,0.8985512367491165,0.06200440528634361,0.007202643171806167,0.6052790014684288,only click
16.0,0.9442544169611308,0.07048458149779736,0.02872246696035242,0.8387077826725404,only click
16.0,1.042572438162544,0.06024229074889868,0.03918502202643172,0.9015932452276065,only click
16.0,0.9387491166077738,0.13685022026431717,0.041343612334801765,0.8163142437591777,only click
0.0,3.2,0.0,0.0,0.0,With RG2
0.0,3.2,0.0,0.0,0.0,With RG2
0.16,2.8287298091042583,0.14048458149779736,0.03190528634361234,0.013817914831130691,With RG2
0.16,2.7185903083700445,0.03566079295154185,0.0007709251101321586,0.0038179148311306903,With RG2
0.5,2.6538472834067552,0.19255506607929515,0.09023127753303965,0.051387665198237883,With RG2
0.5,2.6382672540381793,0.2175330396475771,0.09572687224669603,0.04709985315712188,With RG2
1.0,1.9938399412628487,0.23140969162995595,0.23713656387665197,0.18776064610866375,With RG2
1.0,2.378553597650514,0.1968281938325991,0.16280837004405285,0.10324522760646108,With RG2
2.0,1.5383333333333336,0.14698237885462556,0.3223678414096916,0.4725550660792952,With RG2
2.0,1.7733259911894275,0.2498898678414097,0.19252202643171806,0.3961013215859031,With RG2
4.0,0.902165932452276,0.013810572687224671,0.04422907488986784,0.677136563876652,With RG2
4.0,1.238568281938326,0.04865638766519824,0.2738876651982379,0.49539647577092516,With RG2
8.0,0.9258516886930984,0.0020044052863436124,0.0026101321585903082,0.8349045521292218,With RG2
8.0,0.8191409691629957,0.0,0.005473568281938326,0.7972466960352423,With RG2
16.0,0.7869456681350955,0.022973568281938327,0.0113215859030837,0.6095007342143905,With RG2
16.0,0.8540675477239354,0.04169603524229075,0.006861233480176212,0.7263069016152718,With RG2
