 ,Angle,Length,Azide,IntDen,RawIntDen
78,-5.194,5.313,R,0.0,0.0
79,-90.0,3.367,R,0.0,0.0
80,-90.0,3.367,R,0.0,0.0
81,-90.0,3.848,R,0.0,0.0
82,90.0,4.81,R,0.0,0.0
83,90.0,1.924,R,0.0,0.0
84,-29.745,3.878,R,0.0,0.0
85,172.875,3.878,R,0.0,0.0
86,180.0,2.405,R,0.0,0.0
87,-164.055,3.502,R,0.0,0.0
88,-99.462,2.926,R,0.0,0.0
89,0.0,2.405,R,0.0,0.0
90,90.0,2.886,R,0.0,0.0
91,0.0,3.848,R,0.0,0.0
92,90.0,1.924,R,0.0,0.0
93,-15.945,3.502,R,0.0,0.0
94,-158.199,2.59,R,0.0,0.0
95,-140.194,3.757,R,0.0,0.0
96,-116.565,4.302,R,0.0,0.0
97,4.086,6.751,R,0.0,0.0
98,-18.435,6.084,R,0.0,0.0
99,0.0,3.367,R,0.0,0.0
100,-90.0,2.886,R,0.0,0.0
