median_diameter,Time_point_sec,min,lower,upper
7.622702926192375,178.02866796396438,2.967144466066073,4.747130888507722,9.126448249606096
7.622647823178847,180.72580116756794,3.0120966861261325,5.8398358666701915,9.329948174106267
7.713938524117051,183.4229343711715,3.0570489061861914,6.158488114322623,8.984124675610593
7.220830023129906,186.12006757477508,3.1020011262462512,5.640431982533517,8.036561819098635
6.728714220290611,188.81720077837863,3.1469533463063106,5.7053412766178395,8.100452443848116
6.751741674443183,191.5143339819822,3.19190556636637,6.025511958452159,8.517038458853566
6.9047958984348465,194.21146718558575,3.236857786426429,4.4591530130162464,8.542869702572236
7.925834666000323,196.9086003891893,3.2818100064864884,6.306194667704426,10.372790369268232
7.223969587117904,199.6057335927929,3.326762226546548,5.407116744047975,12.002868144287186
,202.30286679639644,3.3717144466066076,,
,205.0,3.4166666666666665,,
