time,F,Ac,An,W,Condition
0.0,50.0,16.0,0.0,0.0,0
0.0,50.0,16.0,0.0,0.0,0
0.0,50.0,16.0,0.0,0.0,0
0.5,24.880833333333335,4.042798353909465,11.957201646090535,25.119166666666665,0
0.5,25.029375,5.608230452674899,10.3917695473251,24.970625,0
0.5,20.45854166666667,5.428806584362141,10.57119341563786,29.54145833333333,0
1.0,15.636041666666666,5.882716049382717,10.117283950617283,34.363958333333336,0
1.0,15.165208333333334,6.486831275720165,9.513168724279835,34.83479166666667,0
1.0,15.237708333333332,7.8806584362139915,8.119341563786008,34.76229166666667,0
2.0,10.138541666666665,7.9483539094650215,8.051646090534978,39.86145833333333,0
2.0,11.969583333333334,6.814814814814815,9.185185185185185,38.03041666666667,0
2.0,11.606875,7.074279835390946,8.925720164609054,38.393125,0
3.0,4.9454166666666675,9.363580246913582,6.636419753086419,45.05458333333333,0
3.0,5.656666666666667,9.751234567901236,6.248765432098765,44.343333333333334,0
3.0,4.390625,9.172839506172838,6.8271604938271615,45.609375,0
4.0,1.5652083333333335,11.271399176954734,4.728600823045267,48.43479166666667,0
4.0,2.072291666666667,10.860493827160495,5.139506172839505,47.927708333333335,0
4.0,0.0,11.96522633744856,4.03477366255144,50.0,0
6.0,0.0,16.0,0.0,50.0,0
6.0,0.0,16.0,0.0,50.0,0
6.0,0.0,16.0,0.0,50.0,0
8.0,0.0,16.0,0.0,50.0,0
8.0,0.0,16.0,0.0,50.0,0
8.0,0.0,16.0,0.0,50.0,0
16.0,0.0,16.0,0.0,50.0,0
16.0,0.0,16.0,0.0,50.0,0
16.0,0.0,16.0,0.0,50.0,0
0.0,50.0,16.0,0.0,0.0,1
0.0,50.0,16.0,0.0,0.0,1
0.0,50.0,16.0,0.0,0.0,1
0.5,19.839375,4.5917695473251054,11.408230452674895,30.160625,1
0.5,25.927708333333335,3.821193415637861,12.178806584362139,24.072291666666665,1
0.5,24.46458333333333,4.337860082304529,11.662139917695471,25.53541666666667,1
1.0,13.356041666666666,6.4477366255144055,9.552263374485594,36.64395833333333,1
1.0,14.585208333333336,6.860288065843623,9.139711934156377,35.414791666666666,1
1.0,13.0675,7.9907407407407405,8.00925925925926,36.9325,1
2.0,10.028125000000001,8.063374485596707,7.936625514403293,39.971875,1
2.0,9.9875,8.047942386831275,7.952057613168725,40.0125,1
2.0,7.752500000000001,9.045473251028806,6.954526748971194,42.2475,1
3.0,10.357291666666667,9.04320987654321,6.9567901234567895,39.64270833333333,1
3.0,5.675416666666668,11.083333333333334,4.916666666666666,44.32458333333333,1
3.0,4.474166666666666,11.30329218106996,4.69670781893004,45.52583333333333,1
4.0,1.799166666666667,13.853909465020577,2.146090534979424,48.200833333333335,1
4.0,1.2775,16.0,0.0,48.7225,1
4.0,4.494583333333334,16.0,0.0,45.50541666666667,1
6.0,0.0,16.0,0.0,50.0,1
6.0,0.0,16.0,0.0,50.0,1
6.0,0.0,16.0,0.0,50.0,1
8.0,0.0,16.0,0.0,50.0,1
8.0,0.0,16.0,0.0,50.0,1
8.0,0.0,16.0,0.0,50.0,1
16.0,0.0,16.0,0.0,50.0,1
16.0,0.0,16.0,0.0,50.0,1
16.0,0.0,16.0,0.0,50.0,1
