time,T,Type
0.0,0.0,PSS
0.0,0.0,PSS
0.16,0.0,PSS
0.16,0.0,PSS
0.5,0.026716666666666666,PSS
0.5,0.02506111111111111,PSS
1.0,0.19774444444444444,PSS
1.0,0.20134444444444444,PSS
2.0,0.6385722222222223,PSS
2.0,0.6073222222222223,PSS
4.0,0.8412777777777778,PSS
4.0,0.8276777777777777,PSS
8.0,0.7862888888888889,PSS
8.0,0.8230388888888889,PSS
16.0,0.7434777777777778,PSS
16.0,0.8110055555555555,PSS
