median_diameter,Time_point_sec,min,lower,upper
5.468063002887497,125.0,2.0833333333333335,4.2908219873711015,6.1823583127711
5.633899922458489,133.20701005805807,2.220116834300968,4.792867930428017,6.658382477160346
6.276887564614428,141.41402011611618,2.356900335268603,4.895634206246482,7.200403306044552
6.259208286466519,149.62103017417428,2.493683836236238,5.672327385059656,8.076952139751821
6.729891320458,157.82804023223235,2.6304673372038727,5.82667716074562,8.136738128082838
6.647312839451554,166.03505029029043,2.767250838171507,5.850637056130953,7.907229394644849
8.2177923072175,174.24206034834853,2.9040343391391423,7.377219614158192,8.943044786526727
6.892080642625476,182.44907040640663,3.040817840106777,6.352735481149642,8.036561819098635
7.339376484918216,190.6560804644647,3.177601341074412,6.625118076857239,8.271382380907438
6.950601868245247,198.86309052252278,3.3143848420420463,6.591600597047153,7.7592545758111084
6.924062627122041,207.07010058058088,3.4511683430096816,6.456225765338732,8.04572029707797
7.579102742488634,215.277110638639,3.5879518439773164,6.816872523241401,8.199849507846238
7.4065048495621735,223.48412069669706,3.724735344944951,6.754441048658899,8.364368345064596
7.392178506735888,231.69113075475514,3.8615188459125855,6.849205696865803,8.123150467956956
7.478589163215418,239.89814081281324,3.998302346880221,6.794755687939597,8.123150467956956
7.471453465584571,248.10515087087134,4.135085847847856,6.696982119232554,8.390249582916162
7.461575469062657,256.3121609289294,4.27186934881549,6.9176098383478335,8.458296552633634
8.04114236197216,264.5191709869875,4.408652849783125,6.913418404645398,8.684013129230669
8.04572029707797,272.72618104504556,4.54543635075076,7.0870040409819355,8.555860309131617
7.904900313619553,280.9331911031037,4.682219851718395,7.12584267107389,8.48668098250922
7.307006545035465,289.14020116116177,4.819003352686029,6.757193222908612,7.888580242749554
6.104438904147534,297.34721121921984,4.955786853653664,5.62081302923868,6.892080642625476
5.504340641169853,305.554221277278,5.0925703546213,4.612387187276653,7.200403306044552
,313.76123133533605,5.2293538555889345,,
7.2208475918209505,321.9682413933941,5.366137356556568,5.70131281462598,9.139085238466745
6.134525034671886,330.1752514514522,5.502920857524203,4.778057149706461,6.843827442642731
5.15613279548071,338.3822615095103,5.639704358491838,4.5652410195423245,6.6914815169744974
5.290080628639518,346.5892715675684,5.776487859459474,3.6408831889613333,6.608423086665447
