,Unnamed: 0,sec,fit_I
0,0,2.08,0.2906471103798833
1,1,2.21,0.2914413194825974
2,2,2.34,0.2922339822340016
3,3,2.47,0.293025101644893
4,4,2.6,0.2938146807202061
5,5,2.73,0.2946027224590253
6,6,2.8600000000000003,0.2953892298545955
7,7,2.99,0.2961742058943335
8,8,3.12,0.2969576535598396
9,9,3.25,0.2977395758269088
10,10,3.38,0.2985199756655423
11,11,3.51,0.2992988560399582
12,12,3.64,0.3000762199086037
13,13,3.77,0.3008520702241654
14,14,3.9,0.301626409933581
15,15,4.03,0.3023992419780506
16,16,4.16,0.3031705692930475
17,17,4.29,0.3039403948083297
18,18,4.42,0.3047087214479506
19,19,4.55,0.3054755521302705
20,20,4.68,0.3062408897679678
21,21,4.8100000000000005,0.3070047372680496
22,22,4.94,0.3077670975318628
23,23,5.07,0.3085279734551055
24,24,5.2,0.3092873679278378
25,25,5.33,0.3100452838344927
26,26,5.46,0.3108017240538869
27,27,5.59,0.3115566914592325
28,28,5.720000000000001,0.3123101889181467
29,29,5.8500000000000005,0.3130622192926638
30,30,5.98,0.3138127854392456
31,31,6.11,0.314561890208792
32,32,6.24,0.3153095364466524
33,33,6.37,0.3160557269926359
34,34,6.5,0.3168004646810228
35,35,6.63,0.3175437523405746
36,36,6.76,0.3182855927945452
37,37,6.890000000000001,0.3190259888606919
38,38,7.0200000000000005,0.319764943351285
39,39,7.15,0.3205024590731199
40,40,7.28,0.3212385388275268
41,41,7.41,0.3219731854103815
42,42,7.54,0.3227064016121164
43,43,7.67,0.3234381902177307
44,44,7.800000000000001,0.324168554006801
45,45,7.930000000000001,0.3248974957534921
46,46,8.06,0.3256250182265675
47,47,8.19,0.3263511241893997
48,48,8.32,0.3270758163999808
49,49,8.450000000000001,0.3277990976109332
50,50,8.58,0.3285209705695194
51,51,8.71,0.3292414380176535
52,52,8.84,0.3299605026919105
53,53,8.97,0.3306781673235375
54,54,9.1,0.3313944346384636
55,55,9.23,0.3321093073573105
56,56,9.36,0.3328227881954028
57,57,9.49,0.3335348798627781
58,58,9.62,0.3342455850641977
59,59,9.75,0.3349549064991565
60,60,9.88,0.3356628468618934
61,61,10.01,0.3363694088414017
62,62,10.14,0.3370745951214388
63,63,10.27,0.337778408380537
64,64,10.4,0.3384808512920133
65,65,10.53,0.3391819265239798
66,66,10.66,0.3398816367393535
67,67,10.79,0.3405799845958669
68,68,10.92,0.3412769727460774
69,69,11.05,0.3419726038373781
70,70,11.18,0.3426668805120074
71,71,11.31,0.3433598054070592
72,72,11.44,0.3440513811544931
73,73,11.57,0.3447416103811437
74,74,11.7,0.3454304957087317
75,75,11.83,0.3461180397538726
76,76,11.96,0.3468042451280876
77,77,12.09,0.3474891144378133
78,78,12.22,0.3481726502844112
79,79,12.35,0.3488548552641778
80,80,12.48,0.3495357319683551
81,81,12.61,0.3502152829831392
82,82,12.74,0.350893510889691
83,83,12.87,0.351570418264146
84,84,13.0,0.3522460076776238
85,85,13.13,0.3529202816962377
86,86,13.26,0.3535932428811049
87,87,13.39,0.3542648937883561
88,88,13.52,0.354935236969145
89,89,13.65,0.355604274969658
90,90,13.78,0.3562720103311243
91,91,13.91,0.356938445589825
92,92,14.04,0.357603583277103
93,93,14.17,0.3582674259193728
94,94,14.3,0.3589299760381296
95,95,14.43,0.3595912361499593
96,96,14.56,0.360251208766548
97,97,14.69,0.3609098963946913
98,98,14.82,0.3615673015363042
99,99,14.95,0.3622234266884301
100,100,15.08,0.3628782743432507
101,101,15.21,0.3635318469880957
102,102,15.34,0.3641841471054513
103,103,15.47,0.3648351771729704
104,104,15.6,0.3654849396634821
105,105,15.73,0.3661334370450007
106,106,15.86,0.3667806717807348
107,107,15.99,0.3674266463290976
108,108,16.12,0.3680713631437155
109,109,16.25,0.3687148246734375
110,110,16.38,0.3693570333623446
111,111,16.51,0.3699979916497593
112,112,16.64,0.3706377019702545
113,113,16.77,0.371276166753663
114,114,16.900000000000002,0.3719133884250863
115,115,17.03,0.3725493694049048
116,116,17.16,0.3731841121087858
117,117,17.29,0.3738176189476933
118,118,17.42,0.3744498923278972
119,119,17.55,0.3750809346509824
120,120,17.68,0.3757107483138575
121,121,17.810000000000002,0.3763393357087646
122,122,17.94,0.3769666992232878
123,123,18.07,0.3775928412403626
124,124,18.2,0.3782177641382846
125,125,18.33,0.3788414702907193
126,126,18.46,0.3794639620667101
127,127,18.59,0.380085241830688
128,128,18.72,0.3807053119424804
129,129,18.85,0.3813241747573199
130,130,18.98,0.3819418326258536
131,131,19.11,0.3825582878941517
132,132,19.24,0.3831735429037163
133,133,19.37,0.3837875999914909
134,134,19.5,0.3844004614898687
135,135,19.63,0.3850121297267016
136,136,19.76,0.3856226070253093
137,137,19.89,0.3862318957044877
138,138,20.02,0.3868399980785181
139,139,20.15,0.3874469164571756
140,140,20.28,0.3880526531457384
141,141,20.41,0.3886572104449959
142,142,20.54,0.3892605906512582
143,143,20.67,0.3898627960563639
144,144,20.8,0.3904638289476898
145,145,20.93,0.3910636916081588
146,146,21.06,0.3916623863162489
147,147,21.19,0.3922599153460021
148,148,21.32,0.3928562809670323
149,149,21.45,0.3934514854445348
150,150,21.58,0.3940455310392943
151,151,21.71,0.3946384200076938
152,152,21.84,0.3952301546017228
153,153,21.97,0.3958207370689863
154,154,22.1,0.3964101696527132
155,155,22.23,0.3969984545917645
156,156,22.36,0.3975855941206424
157,157,22.49,0.3981715904694982
158,158,22.62,0.3987564458641411
159,159,22.75,0.3993401625260465
160,160,22.880000000000003,0.3999227426723647
161,161,23.01,0.4005041885159289
162,162,23.14,0.4010845022652641
163,163,23.27,0.401663686124595
164,164,23.4,0.4022417422938548
165,165,23.53,0.402818672968693
166,166,23.66,0.4033944803404846
167,167,23.79,0.4039691665963377
168,168,23.92,0.4045427339191018
169,169,24.05,0.4051151844873766
170,170,24.18,0.4056865204755199
171,171,24.31,0.4062567440536559
172,172,24.44,0.4068258573876838
173,173,24.57,0.4073938626392853
174,174,24.7,0.4079607619659334
175,175,24.83,0.4085265575209006
176,176,24.96,0.4090912514532666
177,177,25.09,0.4096548459079269
178,178,25.22,0.4102173430256011
179,179,25.35,0.4107787449428402
180,180,25.48,0.4113390537920357
181,181,25.61,0.4118982717014271
182,182,25.74,0.4124564007951102
183,183,25.87,0.4130134431930451
184,184,26.0,0.4135694010110642
185,185,26.130000000000003,0.4141242763608803
186,186,26.26,0.4146780713500949
187,187,26.39,0.4152307880822054
188,188,26.52,0.4157824286566142
189,189,26.65,0.4163329951686356
190,190,26.78,0.4168824897095048
191,191,26.91,0.4174309143663847
192,192,27.04,0.4179782712223748
193,193,27.17,0.4185245623565186
194,194,27.3,0.4190697898438118
195,195,27.43,0.4196139557552097
196,196,27.56,0.4201570621576357
197,197,27.69,0.4206991111139887
198,198,27.82,0.421240104683151
199,199,27.95,0.4217800449199964
200,200,28.08,0.4223189338753974
201,201,28.21,0.4228567735962338
202,202,28.34,0.4233935661254
203,203,28.47,0.4239293135018126
204,204,28.6,0.4244640177604184
205,205,28.73,0.4249976809322022
206,206,28.86,0.4255303050441945
207,207,28.99,0.4260618921194787
208,208,29.12,0.4265924441771999
209,209,29.25,0.4271219632325709
210,210,29.380000000000003,0.4276504512968817
211,211,29.51,0.4281779103775058
212,212,29.64,0.4287043424779083
213,213,29.77,0.4292297495976536
214,214,29.9,0.429754133732413
215,215,30.03,0.4302774968739716
216,216,30.16,0.4307998410102372
217,217,30.290000000000003,0.4313211681252465
218,218,30.42,0.4318414801991735
219,219,30.55,0.4323607792083367
220,220,30.68,0.4328790671252065
221,221,30.81,0.433396345918413
222,222,30.94,0.4339126175527532
223,223,31.07,0.4344278839891987
224,224,31.200000000000003,0.4349421471849028
225,225,31.33,0.4354554090932084
226,226,31.46,0.4359676716636551
227,227,31.59,0.4364789368419866
228,228,31.72,0.4369892065701583
229,229,31.85,0.4374984827863444
230,230,31.98,0.4380067674249456
