,Unnamed: 0,Parameter,Value
0,0,A (Mobile Fraction),0.4208275010073014
1,1,Tau (s),66.7032369720316
2,2,Offset C,0.2777269812482101
3,3,Half-time t1/2 (s),46.23516064138561
4,4,Diffusion D (µm²/s),0.0193791908056653
